#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-08-30 00:00:00+00:00 2018-01-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LPAR,2017-08-30 08:00,-9.0333,38.8833,68.00,62.60,M,M,M,0.00,30.00,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 300800Z /////KT 9999 FEW012 20/17 Q1016
LPAR,2017-08-30 09:00,-9.0333,38.8833,71.60,62.60,M,M,M,0.00,30.03,M,6.21,M,SCT,SCT,M,M,1400.00,2000.00,M,M,M,M,M,M,M,M,M,M,LPAR 300900Z /////KT 9999 SCT014 SCT020 22/17 Q1017
LPAR,2017-08-30 10:00,-9.0333,38.8833,75.20,62.60,M,M,M,0.00,30.00,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 301000Z /////KT 9999 FEW020 24/17 Q1016
LPAR,2017-08-30 11:00,-9.0333,38.8833,78.80,62.60,M,M,M,0.00,30.00,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 301100Z /////KT 9999 FEW023 26/17 Q1016
LPAR,2017-08-30 12:00,-9.0333,38.8833,78.80,64.40,M,M,M,0.00,30.00,M,6.21,M,SCT,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 301200Z /////KT 9999 SCT023 26/18 Q1016
LPAR,2017-08-30 13:00,-9.0333,38.8833,78.80,62.60,M,M,M,0.00,30.00,M,6.21,M,BKN,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 301300Z /////KT 9999 BKN025 26/17 Q1016
LPAR,2017-08-30 14:00,-9.0333,38.8833,82.40,62.60,M,M,M,0.00,29.97,M,6.21,M,SCT,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 301400Z /////KT 9999 SCT025 28/17 Q1015
LPAR,2017-08-30 15:00,-9.0333,38.8833,82.40,62.60,M,M,M,0.00,29.97,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 301500Z /////KT 9999 FEW025 28/17 Q1015
LPAR,2017-08-30 16:00,-9.0333,38.8833,80.60,62.60,M,M,M,0.00,29.97,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 301600Z /////KT 9999 FEW025 27/17 Q1015
LPAR,2017-08-31 08:00,-9.0333,38.8833,69.80,60.80,M,M,M,0.00,30.03,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 310800Z /////KT 9999 FEW012 21/16 Q1017
LPAR,2017-08-31 09:00,-9.0333,38.8833,71.60,60.80,M,M,M,0.00,30.03,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 310900Z /////KT 9999 FEW012 22/16 Q1017
LPAR,2017-08-31 10:00,-9.0333,38.8833,75.20,60.80,M,M,M,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 311000Z /////KT CAVOK 24/16 Q1017
LPAR,2017-08-31 11:00,-9.0333,38.8833,80.60,60.80,M,M,M,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 311100Z /////KT CAVOK 27/16 Q1017
LPAR,2017-08-31 12:00,-9.0333,38.8833,80.60,60.80,M,M,M,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 311200Z /////KT CAVOK 27/16 Q1017
LPAR,2017-08-31 13:00,-9.0333,38.8833,82.40,62.60,M,M,M,0.00,30.00,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 311300Z /////KT 9999 FEW020 28/17 Q1016
LPAR,2017-08-31 14:00,-9.0333,38.8833,86.00,62.60,M,M,M,0.00,30.00,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 311400Z /////KT 9999 FEW025 30/17 Q1016
LPAR,2017-08-31 15:00,-9.0333,38.8833,86.00,60.80,M,M,M,0.00,29.97,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 311500Z /////KT 9999 FEW025 30/16 Q1015
LPAR,2017-08-31 16:00,-9.0333,38.8833,82.40,59.00,M,M,M,0.00,29.97,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 311600Z /////KT 9999 FEW025 28/15 Q1015
LPAR,2017-09-01 08:00,-9.0333,38.8833,69.80,57.20,M,M,M,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 010800Z /////KT CAVOK 21/14 Q1017
LPAR,2017-09-01 09:00,-9.0333,38.8833,75.20,55.40,M,M,M,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 010900Z /////KT CAVOK 24/13 Q1017
LPAR,2017-09-01 10:00,-9.0333,38.8833,78.80,57.20,M,M,M,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 011000Z /////KT CAVOK 26/14 Q1018
LPAR,2017-09-01 11:00,-9.0333,38.8833,82.40,57.20,M,M,M,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 011100Z /////KT CAVOK 28/14 Q1017
LPAR,2017-09-01 12:00,-9.0333,38.8833,84.20,57.20,M,M,M,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 011200Z /////KT CAVOK 29/14 Q1017
LPAR,2017-09-01 13:00,-9.0333,38.8833,87.80,59.00,M,M,M,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 011300Z /////KT CAVOK 31/15 Q1016
LPAR,2017-09-01 14:00,-9.0333,38.8833,87.80,57.20,M,M,M,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 011400Z /////KT CAVOK 31/14 Q1016
LPAR,2017-09-01 15:00,-9.0333,38.8833,84.20,55.40,M,M,M,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 011500Z /////KT CAVOK 29/13 Q1016
LPAR,2017-09-01 16:00,-9.0333,38.8833,84.20,53.60,M,M,M,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,LPAR 011600Z /////KT CAVOK 29/12 Q1016
LPAR,2017-09-04 08:00,-9.0333,38.8833,69.80,66.20,M,M,M,0.00,30.03,M,6.21,M,SCT,BKN,M,M,600.00,1500.00,M,M,M,M,M,M,M,M,M,M,LPAR 040800Z /////KT 9999 SCT006 BKN015 21/19 Q1017
LPAR,2017-09-04 09:00,-9.0333,38.8833,73.40,68.00,M,M,M,0.00,30.06,M,6.21,M,BKN,SCT,M,M,1600.00,2500.00,M,M,M,M,M,M,M,M,M,M,LPAR 040900Z /////KT 9999 BKN016 SCT025 23/20 Q1018
LPAR,2017-09-04 10:00,-9.0333,38.8833,75.20,66.20,M,M,M,0.00,30.06,M,6.21,M,FEW,BKN,M,M,1500.00,2000.00,M,M,M,M,M,M,M,M,M,M,LPAR 041000Z /////KT 9999 FEW015 BKN020 24/19 Q1018
LPAR,2017-09-04 11:00,-9.0333,38.8833,77.00,64.40,M,M,M,0.00,30.06,M,6.21,M,FEW,BKN,M,M,1500.00,2300.00,M,M,M,M,M,M,M,M,M,M,LPAR 041100Z /////KT 9999 FEW015 BKN023 25/18 Q1018
LPAR,2017-09-04 12:00,-9.0333,38.8833,78.80,62.60,M,M,M,0.00,30.06,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 041200Z /////KT 9999 FEW025 26/17 Q1018
LPAR,2017-09-04 13:00,-9.0333,38.8833,80.60,60.80,M,M,M,0.00,30.06,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 041300Z /////KT 9999 FEW025 27/16 Q1018
LPAR,2017-09-04 14:00,-9.0333,38.8833,80.60,62.60,M,M,M,0.00,30.06,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 041400Z /////KT 9999 FEW030 27/17 Q1018
LPAR,2017-09-04 15:00,-9.0333,38.8833,82.40,62.60,M,M,M,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 041500Z /////KT 9999 FEW025 28/17 Q1017
LPAR,2017-09-04 16:00,-9.0333,38.8833,80.60,62.60,M,M,M,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 041600Z /////KT 9999 FEW025 27/17 Q1017
LPAR,2017-09-05 08:00,-9.0333,38.8833,69.80,60.80,M,M,M,0.00,30.15,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 050800Z /////KT 9999 SCT020 21/16 Q1021
LPAR,2017-09-05 09:00,-9.0333,38.8833,71.60,62.60,M,M,M,0.00,30.15,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 050900Z /////KT 9999 SCT020 22/17 Q1021
LPAR,2017-09-05 10:00,-9.0333,38.8833,75.20,60.80,M,M,M,0.00,30.15,M,6.21,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,M,LPAR 051000Z /////KT 9999 FEW022 24/16 Q1021
