#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-08-30 00:00:00+00:00 2018-01-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LPCS,2017-08-30 06:00,-9.3552,38.7250,64.40,60.80,88.09,360.00,7.00,0.00,30.00,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,64.40,LPCS 300600Z 36007KT 9999 FEW015 18/16 Q1016
LPCS,2017-08-30 06:30,-9.3552,38.7250,64.40,60.80,88.09,360.00,7.00,0.00,30.00,M,6.21,M,FEW,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,64.40,LPCS 300630Z 36007KT 9999 FEW017 18/16 Q1016
LPCS,2017-08-30 07:00,-9.3552,38.7250,64.40,60.80,88.09,360.00,7.00,0.00,30.00,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,64.40,LPCS 300700Z 36007KT 9999 FEW018 18/16 Q1016
LPCS,2017-08-30 07:30,-9.3552,38.7250,66.20,60.80,82.74,360.00,9.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,66.20,LPCS 300730Z 36009KT 9999 FEW020 19/16 Q1017
LPCS,2017-08-30 08:00,-9.3552,38.7250,68.00,60.80,77.75,360.00,10.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,68.00,LPCS 300800Z 36010KT 9999 FEW022 20/16 Q1017
LPCS,2017-08-30 08:30,-9.3552,38.7250,69.80,60.80,73.09,360.00,10.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,69.80,LPCS 300830Z 36010KT 9999 FEW025 21/16 Q1017
LPCS,2017-08-30 09:00,-9.3552,38.7250,71.60,60.80,68.75,350.00,12.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,71.60,LPCS 300900Z 35012KT 9999 FEW025 22/16 Q1017
LPCS,2017-08-30 09:30,-9.3552,38.7250,73.40,60.80,64.69,350.00,10.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,73.40,LPCS 300930Z 35010KT 320V040 9999 FEW025 23/16 Q1017
LPCS,2017-08-30 10:00,-9.3552,38.7250,75.20,60.80,60.90,20.00,8.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,75.20,LPCS 301000Z 02008KT 350V050 9999 FEW025 24/16 Q1017
LPCS,2017-08-30 10:30,-9.3552,38.7250,77.00,60.80,57.36,360.00,8.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,77.00,LPCS 301030Z 36008KT 330V040 9999 FEW025 25/16 Q1017
