#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-08-30 00:00:00+00:00 2018-01-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LPMT,2017-08-30 00:00,-9.0359,38.7039,66.20,62.60,88.18,340.00,4.00,0.00,29.94,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,66.20,LPMT 300000Z 34004KT 9999 FEW012 19/17 Q1014
LPMT,2017-08-30 01:00,-9.0359,38.7039,66.20,62.60,88.18,350.00,4.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,66.20,LPMT 300100Z 35004KT 320V020 9999 FEW012 19/17 Q1015
LPMT,2017-08-30 02:00,-9.0359,38.7039,66.20,62.60,88.18,350.00,4.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,66.20,LPMT 300200Z 35004KT 9999 FEW012 19/17 Q1015
LPMT,2017-08-30 03:00,-9.0359,38.7039,62.60,60.80,93.83,60.00,3.00,0.00,29.94,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,62.60,LPMT 300300Z 06003KT 9999 FEW012 17/16 Q1014
LPMT,2017-08-30 04:00,-9.0359,38.7039,60.80,59.00,93.79,M,1.00,0.00,29.94,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,60.80,LPMT 300400Z VRB01KT 9999 FEW012 16/15 Q1014
LPMT,2017-08-30 05:00,-9.0359,38.7039,64.40,60.80,88.09,350.00,4.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,1200.00,1800.00,M,M,M,M,M,M,M,M,M,64.40,LPMT 300500Z 35004KT 9999 FEW012 BKN018 18/16 Q1015
LPMT,2017-08-30 06:00,-9.0359,38.7039,62.60,60.80,93.83,330.00,3.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,62.60,LPMT 300600Z 33003KT 9999 FEW012 17/16 Q1015
LPMT,2017-08-30 07:00,-9.0359,38.7039,62.60,60.80,93.83,M,2.00,0.00,30.00,M,6.21,M,BKN,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,62.60,LPMT 300700Z VRB02KT 9999 BKN012 17/16 Q1016
LPMT,2017-08-30 08:00,-9.0359,38.7039,68.00,62.60,82.86,310.00,3.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,68.00,LPMT 300800Z 31003KT 230V020 9999 FEW010 20/17 Q1017
LPMT,2017-08-30 09:00,-9.0359,38.7039,71.60,62.60,73.27,10.00,4.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,71.60,LPMT 300900Z 01004KT 290V050 9999 FEW015 22/17 Q1017
LPMT,2017-08-30 10:00,-9.0359,38.7039,73.40,62.60,68.94,10.00,4.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,73.40,LPMT 301000Z 01004KT 300V110 9999 FEW020 23/17 Q1017
LPMT,2017-08-30 11:00,-9.0359,38.7039,75.20,60.80,60.90,30.00,6.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,75.20,LPMT 301100Z 03006KT 360V070 9999 FEW025 24/16 Q1017
LPMT,2017-08-30 12:00,-9.0359,38.7039,77.00,62.60,61.13,190.00,4.00,0.00,30.00,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,77.00,LPMT 301200Z 19004KT 140V260 9999 FEW030 25/17 Q1016
LPMT,2017-08-30 13:00,-9.0359,38.7039,78.80,62.60,57.60,280.00,5.00,0.00,30.00,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,80.31,LPMT 301300Z 28005KT 250V310 9999 FEW040 26/17 Q1016
LPMT,2017-08-30 14:00,-9.0359,38.7039,80.60,62.60,54.30,310.00,5.00,0.00,30.00,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,81.84,LPMT 301400Z 31005KT 260V020 9999 FEW040 27/17 Q1016
LPMT,2017-08-30 15:00,-9.0359,38.7039,82.40,62.60,51.21,320.00,6.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,83.41,LPMT 301500Z 32006KT 290V020 9999 FEW040 28/17 Q1015
LPMT,2017-08-30 16:00,-9.0359,38.7039,80.60,62.60,54.30,330.00,9.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,81.84,LPMT 301600Z 33009KT 300V010 9999 FEW040 27/17 Q1015
LPMT,2017-08-30 17:00,-9.0359,38.7039,78.80,62.60,57.60,330.00,10.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,80.31,LPMT 301700Z 33010KT 300V360 9999 FEW040 26/17 Q1015
LPMT,2017-08-30 18:00,-9.0359,38.7039,75.20,62.60,64.91,340.00,13.00,0.00,30.00,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,75.20,LPMT 301800Z 34013KT 9999 FEW030 24/17 Q1016
LPMT,2017-08-30 19:00,-9.0359,38.7039,71.60,60.80,68.75,340.00,10.00,0.00,30.00,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,71.60,LPMT 301900Z 34010KT 9999 FEW025 22/16 Q1016
LPMT,2017-08-30 20:00,-9.0359,38.7039,69.80,60.80,73.09,340.00,13.00,0.00,30.00,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,69.80,LPMT 302000Z 34013KT 9999 FEW025 21/16 Q1016
LPMT,2017-08-30 21:00,-9.0359,38.7039,68.00,60.80,77.75,350.00,7.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,68.00,LPMT 302100Z 35007KT 9999 FEW022 20/16 Q1017
LPMT,2017-08-30 22:00,-9.0359,38.7039,68.00,60.80,77.75,350.00,5.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,68.00,LPMT 302200Z 35005KT 9999 FEW018 20/16 Q1017
LPMT,2017-08-30 23:00,-9.0359,38.7039,66.20,60.80,82.74,340.00,6.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,66.20,LPMT 302300Z 34006KT 9999 FEW018 19/16 Q1017
LPMT,2017-08-31 00:00,-9.0359,38.7039,66.20,59.00,77.60,360.00,10.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,66.20,LPMT 310000Z 36010KT 9999 FEW018 19/15 Q1017
LPMT,2017-08-31 01:00,-9.0359,38.7039,66.20,59.00,77.60,350.00,6.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,66.20,LPMT 310100Z 35006KT 9999 FEW018 19/15 Q1017
LPMT,2017-08-31 02:00,-9.0359,38.7039,64.40,59.00,82.62,350.00,7.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,64.40,LPMT 310200Z 35007KT 9999 FEW018 18/15 Q1017
LPMT,2017-08-31 03:00,-9.0359,38.7039,64.40,59.00,82.62,340.00,8.00,0.00,30.00,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,64.40,LPMT 310300Z 34008KT 9999 FEW018 18/15 Q1016
LPMT,2017-08-31 06:00,-9.0359,38.7039,64.40,60.80,88.09,350.00,9.00,0.00,30.00,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,64.40,LPMT 310600Z 35009KT 9999 FEW018 18/16 Q1016
LPMT,2017-08-31 07:00,-9.0359,38.7039,66.20,60.80,82.74,350.00,9.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,66.20,LPMT 310700Z 35009KT 9999 FEW018 19/16 Q1017
LPMT,2017-08-31 08:00,-9.0359,38.7039,69.80,60.80,73.09,340.00,7.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,69.80,LPMT 310800Z 34007KT 310V010 9999 FEW018 21/16 Q1017
LPMT,2017-08-31 09:00,-9.0359,38.7039,71.60,62.60,73.27,360.00,6.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,71.60,LPMT 310900Z 36006KT 310V050 9999 FEW018 22/17 Q1018
LPMT,2017-08-31 10:00,-9.0359,38.7039,75.20,62.60,64.91,10.00,8.00,0.00,30.06,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,75.20,LPMT 311000Z 01008KT 340V040 9999 FEW020 24/17 Q1018
LPMT,2017-08-31 11:00,-9.0359,38.7039,77.00,60.80,57.36,20.00,9.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LPMT 311100Z 02009KT 350V050 CAVOK 25/16 Q1018
LPMT,2017-08-31 12:00,-9.0359,38.7039,80.60,60.80,50.95,20.00,8.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,81.46,LPMT 311200Z 02008KT 350V070 CAVOK 27/16 Q1017
LPMT,2017-08-31 13:00,-9.0359,38.7039,84.20,60.80,45.34,10.00,7.00,0.00,30.00,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,84.43,LPMT 311300Z 01007KT 330V060 9999 FEW040 29/16 Q1016
LPMT,2017-08-31 14:00,-9.0359,38.7039,86.00,60.80,42.80,20.00,8.00,0.00,30.00,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,86.05,LPMT 311400Z 02008KT 330V050 9999 FEW040 30/16 Q1016
LPMT,2017-08-31 15:00,-9.0359,38.7039,86.00,60.80,42.80,340.00,9.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,86.05,LPMT 311500Z 34009KT 310V010 9999 FEW040 30/16 Q1015
LPMT,2017-08-31 16:00,-9.0359,38.7039,84.20,59.00,42.52,340.00,11.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,83.92,LPMT 311600Z 34011KT 9999 FEW040 29/15 Q1015
LPMT,2017-08-31 17:00,-9.0359,38.7039,80.60,55.40,41.97,330.00,12.00,0.00,29.97,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,80.53,LPMT 311700Z 33012KT 9999 FEW040 27/13 Q1015
LPMT,2017-08-31 18:00,-9.0359,38.7039,77.00,55.40,47.25,330.00,12.00,0.00,29.97,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,77.00,LPMT 311800Z 33012KT 9999 FEW030 25/13 Q1015
LPMT,2017-08-31 21:00,-9.0359,38.7039,68.00,57.20,68.35,360.00,10.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,68.00,LPMT 312100Z 36010KT 9999 FEW025 20/14 Q1017
LPMT,2017-08-31 22:00,-9.0359,38.7039,68.00,57.20,68.35,350.00,8.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,68.00,LPMT 312200Z 35008KT 320V020 9999 FEW025 20/14 Q1017
