#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-08-30 00:00:00+00:00 2018-01-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LPOV,2017-08-30 00:00,-8.6459,40.9159,62.60,62.60,100.00,10.00,3.00,0.00,29.97,M,0.50,M,FEW,BKN,M,M,100.00,300.00,M,M,FG,M,M,M,M,M,M,62.60,LPOV 300000Z 01003KT 330V050 0800 FG FEW001 BKN003 17/17 Q1015
LPOV,2017-08-30 01:00,-8.6459,40.9159,62.60,60.80,93.83,M,2.00,0.00,29.97,M,0.12,M,BKN,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPOV 300100Z VRB02KT 0200 FG BKN001 17/16 Q1015
LPOV,2017-08-30 02:00,-8.6459,40.9159,60.80,60.80,100.00,140.00,4.00,0.00,29.94,M,0.31,M,BKN,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,60.80,LPOV 300200Z 14004KT 110V170 0500 FG BKN002 16/16 Q1014
LPOV,2017-08-30 03:00,-8.6459,40.9159,64.40,62.60,93.88,170.00,6.00,0.00,29.94,M,0.56,M,BKN,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,64.40,LPOV 300300Z 17006KT 130V200 0900 FG BKN002 18/17 Q1014
LPOV,2017-08-30 04:00,-8.6459,40.9159,64.40,62.60,93.88,160.00,4.00,0.00,29.97,M,0.75,M,BKN,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,64.40,LPOV 300400Z 16004KT 1200 BR BKN002 18/17 Q1015
LPOV,2017-08-30 05:00,-8.6459,40.9159,62.60,62.60,100.00,160.00,7.00,0.00,29.94,M,0.75,M,BKN,M,M,M,200.00,M,M,M,BR PRFG,M,M,M,M,M,M,62.60,LPOV 300500Z 16007KT 1200 BR PRFG BKN002 17/17 Q1014
LPOV,2017-08-30 06:00,-8.6459,40.9159,62.60,62.60,100.00,160.00,5.00,0.00,29.97,M,0.75,M,BKN,BKN,M,M,200.00,400.00,M,M,BR PRFG,M,M,M,M,M,M,62.60,LPOV 300600Z 16005KT 1200 BR PRFG BKN002 BKN004 17/17 Q1015
LPOV,2017-08-30 07:00,-8.6459,40.9159,62.60,62.60,100.00,200.00,3.00,0.00,30.00,M,0.19,M,OVC,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPOV 300700Z 20003KT 150V250 0300 FG OVC001 17/17 Q1016
LPOV,2017-08-30 08:00,-8.6459,40.9159,64.40,64.40,100.00,170.00,6.00,0.00,30.00,M,0.50,M,OVC,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,64.40,LPOV 300800Z 17006KT 0800 FG OVC001 18/18 Q1016
LPOV,2017-08-30 09:00,-8.6459,40.9159,64.40,64.40,100.00,180.00,6.00,0.00,30.00,M,0.50,M,OVC,M,M,M,100.00,M,M,M,DZ FG,M,M,M,M,M,M,64.40,LPOV 300900Z 18006KT 150V210 0800 DZ FG OVC001 18/18 Q1016
LPOV,2017-08-30 10:00,-8.6459,40.9159,64.40,64.40,100.00,190.00,6.00,0.00,30.03,M,0.50,M,BKN,BKN,M,M,100.00,400.00,M,M,-DZ FG,M,M,M,M,M,M,64.40,LPOV 301000Z 19006KT 0800 -DZ FG BKN001 BKN004 18/18 Q1017 REDZ
LPOV,2017-08-30 11:00,-8.6459,40.9159,64.40,64.40,100.00,170.00,5.00,0.00,30.03,M,0.43,M,OVC,M,M,M,100.00,M,M,M,-DZ FG,M,M,M,M,M,M,64.40,LPOV 301100Z 17005KT 0700 -DZ FG OVC001 18/18 Q1017
LPOV,2017-08-30 12:00,-8.6459,40.9159,64.40,64.40,100.00,230.00,4.00,0.00,30.03,M,1.86,M,SCT,BKN,M,M,100.00,200.00,M,M,BR,M,M,M,M,M,M,64.40,LPOV 301200Z 23004KT 3000 BR SCT001 BKN002 18/18 Q1017
LPOV,2017-08-30 13:00,-8.6459,40.9159,64.40,64.40,100.00,310.00,4.00,0.00,30.03,M,2.49,M,SCT,BKN,M,M,600.00,1200.00,M,M,BR,M,M,M,M,M,M,64.40,LPOV 301300Z 31004KT 4000 BR SCT006 BKN012 18/18 Q1017
LPOV,2017-08-30 14:00,-8.6459,40.9159,64.40,64.40,100.00,360.00,4.00,0.00,30.03,M,5.59,M,BKN,BKN,M,M,600.00,1200.00,M,M,M,M,M,M,M,M,M,64.40,LPOV 301400Z 36004KT 9000 BKN006 BKN012 18/18 Q1017
LPOV,2017-08-30 15:00,-8.6459,40.9159,64.40,64.40,100.00,30.00,4.00,0.00,30.03,M,6.21,M,SCT,BKN,M,M,600.00,1200.00,M,M,M,M,M,M,M,M,M,64.40,LPOV 301500Z 03004KT 9999 SCT006 BKN012 18/18 Q1017
LPOV,2017-08-30 16:00,-8.6459,40.9159,68.00,64.40,88.26,350.00,7.00,0.00,30.03,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,68.00,LPOV 301600Z 35007KT 320V020 9999 SCT020 20/18 Q1017
LPOV,2017-08-30 17:00,-8.6459,40.9159,68.00,62.60,82.86,350.00,8.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,68.00,LPOV 301700Z 35008KT 320V040 9999 FEW020 20/17 Q1017
LPOV,2017-08-30 18:00,-8.6459,40.9159,66.20,62.60,88.18,360.00,7.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,66.20,LPOV 301800Z 36007KT 330V040 9999 FEW020 19/17 Q1017
LPOV,2017-08-30 19:00,-8.6459,40.9159,64.40,60.80,88.09,10.00,6.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,64.40,LPOV 301900Z 01006KT 330V040 9999 FEW020 18/16 Q1017
LPOV,2017-08-30 20:00,-8.6459,40.9159,62.60,60.80,93.83,20.00,4.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,62.60,LPOV 302000Z 02004KT 350V050 9999 FEW020 17/16 Q1017
LPOV,2017-08-30 21:00,-8.6459,40.9159,60.80,59.00,93.79,100.00,3.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,60.80,LPOV 302100Z 10003KT 9999 FEW015 16/15 Q1018
LPOV,2017-08-30 22:00,-8.6459,40.9159,59.00,59.00,100.00,M,2.00,0.00,30.06,M,6.21,M,SCT,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,59.00,LPOV 302200Z VRB02KT 9999 SCT015 15/15 Q1018
LPOV,2017-08-30 23:00,-8.6459,40.9159,60.80,59.00,93.79,110.00,3.00,0.00,30.06,M,6.21,M,FEW,SCT,M,M,500.00,1500.00,M,M,M,M,M,M,M,M,M,60.80,LPOV 302300Z 11003KT 9999 FEW005 SCT015 16/15 Q1018
LPOV,2017-08-31 00:00,-8.6459,40.9159,60.80,59.00,93.79,M,2.00,0.00,30.03,M,6.21,M,FEW,SCT,M,M,500.00,1500.00,M,M,M,M,M,M,M,M,M,60.80,LPOV 310000Z VRB02KT 9999 FEW005 SCT015 16/15 Q1017
LPOV,2017-08-31 01:00,-8.6459,40.9159,60.80,59.00,93.79,60.00,4.00,0.00,30.03,M,6.21,M,BKN,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,60.80,LPOV 310100Z 06004KT 9999 BKN008 16/15 Q1017
LPOV,2017-08-31 02:00,-8.6459,40.9159,59.00,59.00,100.00,M,2.00,0.00,30.03,M,2.49,M,FEW,BKN,M,M,200.00,800.00,M,M,BR,M,M,M,M,M,M,59.00,LPOV 310200Z VRB02KT 4000 BR FEW002 BKN008 15/15 Q1017
LPOV,2017-08-31 03:00,-8.6459,40.9159,57.20,57.20,100.00,M,2.00,0.00,30.03,M,0.31,M,VV ,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,57.20,LPOV 310300Z VRB02KT 0500 FG VV/// 14/14 Q1017
