#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-08-30 00:00:00+00:00 2018-01-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LPPR,2017-08-30 00:00,-8.6833,41.2333,60.80,60.80,100.00,320.00,3.00,0.00,29.97,M,0.40,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,60.80,LPPR 300000Z 32003KT 0650 0400S R17/0900N FG VV001 16/16 Q1015
LPPR,2017-08-30 00:30,-8.6833,41.2333,60.80,60.80,100.00,0.00,0.00,0.00,29.97,M,0.37,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,60.80,LPPR 300030Z 00000KT 0600 0400S R17/0650N FG VV001 16/16 Q1015
LPPR,2017-08-30 01:00,-8.6833,41.2333,60.80,60.80,100.00,M,2.00,0.00,29.97,M,0.43,M,VV ,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,60.80,LPPR 300100Z VRB02KT 0700 0650N R17/0700D FG VV002 16/16 Q1015
LPPR,2017-08-30 01:30,-8.6833,41.2333,60.80,60.80,100.00,130.00,4.00,0.00,29.94,M,0.43,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,60.80,LPPR 300130Z 13004KT 0700 0650S R17/0600N FG VV001 16/16 Q1014
LPPR,2017-08-30 02:00,-8.6833,41.2333,62.60,62.60,100.00,140.00,6.00,0.00,29.94,M,1.43,M,BKN,M,M,M,100.00,M,M,M,BR,M,M,M,M,M,M,62.60,LPPR 300200Z 14006KT 2300 1200N R17/1400U BR BKN001 17/17 Q1014
LPPR,2017-08-30 02:30,-8.6833,41.2333,62.60,62.60,100.00,160.00,5.00,0.00,29.97,M,2.17,M,BKN,M,M,M,100.00,M,M,M,BR,M,M,M,M,M,M,62.60,LPPR 300230Z 16005KT 3500 BR BKN001 17/17 Q1015
LPPR,2017-08-30 03:00,-8.6833,41.2333,62.60,62.60,100.00,M,2.00,0.00,29.94,M,1.62,M,BKN,M,M,M,100.00,M,M,M,BR,M,M,M,M,M,M,62.60,LPPR 300300Z VRB02KT 2600 BR BKN001 17/17 Q1014
LPPR,2017-08-30 03:30,-8.6833,41.2333,62.60,62.60,100.00,230.00,3.00,0.00,29.97,M,0.43,M,VV ,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPPR 300330Z 23003KT 190V270 0700 0600N R17/0650N FG VV002 17/17 Q1015
LPPR,2017-08-30 04:00,-8.6833,41.2333,62.60,62.60,100.00,160.00,8.00,0.00,29.94,M,0.40,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPPR 300400Z 16008KT 0650 0500S R17/0700N FG VV001 17/17 Q1014
LPPR,2017-08-30 04:30,-8.6833,41.2333,62.60,62.60,100.00,180.00,9.00,0.00,29.94,M,0.93,M,BKN,M,M,M,100.00,M,M,M,BR PRFG,M,M,M,M,M,M,62.60,LPPR 300430Z 18009KT 1500 0750S BR PRFG BKN001 17/17 Q1014
LPPR,2017-08-30 05:00,-8.6833,41.2333,62.60,62.60,100.00,190.00,6.00,0.00,29.97,M,0.43,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPPR 300500Z 19006KT 0700 0600S R17/0900D FG VV001 17/17 Q1015
LPPR,2017-08-30 05:30,-8.6833,41.2333,62.60,62.60,100.00,190.00,6.00,0.00,29.97,M,0.37,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPPR 300530Z 19006KT 0600 0550S R17/0600D FG VV001 17/17 Q1015
LPPR,2017-08-30 06:00,-8.6833,41.2333,62.60,62.60,100.00,220.00,5.00,0.00,29.97,M,0.34,M,VV ,M,M,M,100.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPPR 300600Z 22005KT 0550 0400S R17/0600N FG VV001 17/17 Q1015
LPPR,2017-08-30 06:30,-8.6833,41.2333,62.60,62.60,100.00,200.00,4.00,0.00,29.97,M,0.43,M,VV ,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPPR 300630Z 20004KT 170V230 0700 R17/0800D FG VV002 17/17 Q1015
LPPR,2017-08-30 07:00,-8.6833,41.2333,62.60,62.60,100.00,180.00,6.00,0.00,30.00,M,0.43,M,VV ,M,M,M,200.00,M,M,M,FG,M,M,M,M,M,M,62.60,LPPR 300700Z 18006KT 0700 0500S R17/1000U FG VV002 17/17 Q1016
