#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-08-30 00:00:00+00:00 2018-01-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LPPT,2017-08-30 00:00,-9.1359,38.7813,66.20,62.60,88.18,330.00,7.00,0.00,29.97,M,6.21,M,FEW,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,66.20,LPPT 300000Z 33007KT 290V350 9999 FEW008 19/17 Q1015
LPPT,2017-08-30 00:30,-9.1359,38.7813,64.40,62.60,93.88,340.00,5.00,0.00,29.97,M,6.21,M,FEW,M,M,M,800.00,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300030Z 34005KT 9999 FEW008 18/17 Q1015
LPPT,2017-08-30 01:00,-9.1359,38.7813,64.40,62.60,93.88,320.00,5.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300100Z 32005KT 9999 FEW010 18/17 Q1015
LPPT,2017-08-30 01:30,-9.1359,38.7813,64.40,60.80,88.09,340.00,8.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300130Z 34008KT 9999 FEW010 18/16 Q1015
LPPT,2017-08-30 02:00,-9.1359,38.7813,64.40,60.80,88.09,350.00,7.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300200Z 35007KT 9999 FEW010 18/16 Q1015
LPPT,2017-08-30 02:30,-9.1359,38.7813,62.60,60.80,93.83,340.00,3.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,62.60,LPPT 300230Z 34003KT 300V010 9999 FEW010 17/16 Q1015
LPPT,2017-08-30 03:00,-9.1359,38.7813,64.40,60.80,88.09,320.00,5.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300300Z 32005KT CAVOK 18/16 Q1015
LPPT,2017-08-30 03:30,-9.1359,38.7813,64.40,60.80,88.09,310.00,4.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300330Z 31004KT CAVOK 18/16 Q1015
LPPT,2017-08-30 04:00,-9.1359,38.7813,64.40,60.80,88.09,320.00,6.00,0.00,29.97,M,6.21,M,FEW,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300400Z 32006KT 290V350 9999 FEW009 18/16 Q1015
LPPT,2017-08-30 04:30,-9.1359,38.7813,64.40,60.80,88.09,330.00,7.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LPPT 300430Z 33007KT CAVOK 18/16 Q1015
