#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-08-30 00:00:00+00:00 2018-01-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
LPST,2017-08-30 06:00,-9.3395,38.8310,64.40,59.00,82.62,340.00,5.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,800.00,1100.00,M,M,M,M,M,M,M,M,M,64.40,LPST 300600Z 34005KT 9999 FEW008 BKN011 18/15 Q1016
LPST,2017-08-30 07:00,-9.3395,38.8310,64.40,59.00,82.62,M,2.00,0.00,30.03,M,6.21,M,FEW,BKN,M,M,900.00,1300.00,M,M,M,M,M,M,M,M,M,64.40,LPST 300700Z VRB02KT 9999 FEW009 BKN013 18/15 Q1017
LPST,2017-08-30 08:00,-9.3395,38.8310,66.20,59.00,77.60,340.00,6.00,0.00,30.03,M,6.21,M,FEW,SCT,M,M,900.00,1900.00,M,M,M,M,M,M,M,M,M,66.20,LPST 300800Z 34006KT 9999 FEW009 SCT019 19/15 Q1017
LPST,2017-08-30 09:00,-9.3395,38.8310,69.80,59.00,68.55,350.00,9.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1900.00,M,M,M,M,M,M,M,M,M,M,69.80,LPST 300900Z 35009KT 320V020 9999 FEW019 21/15 Q1018
LPST,2017-08-30 10:00,-9.3395,38.8310,71.60,60.80,68.75,10.00,6.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,71.60,LPST 301000Z 01006KT 330V050 9999 FEW023 22/16 Q1017
LPST,2017-08-30 11:00,-9.3395,38.8310,73.40,60.80,64.69,330.00,9.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2200.00,M,M,M,M,M,M,M,M,M,M,73.40,LPST 301100Z 33009KT 300V360 9999 FEW022 23/16 Q1017
LPST,2017-08-30 12:00,-9.3395,38.8310,73.40,60.80,64.69,320.00,11.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,73.40,LPST 301200Z 32011KT 290V350 9999 FEW024 23/16 Q1017
LPST,2017-08-30 13:00,-9.3395,38.8310,75.20,59.00,57.12,320.00,13.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2400.00,M,M,M,M,M,M,M,M,M,M,75.20,LPST 301300Z 32013KT 9999 FEW024 24/15 Q1017
LPST,2017-08-30 14:00,-9.3395,38.8310,73.40,60.80,64.69,310.00,15.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,73.40,LPST 301400Z 31015KT 9999 FEW023 23/16 Q1017
LPST,2017-08-30 15:00,-9.3395,38.8310,75.20,59.00,57.12,330.00,14.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,75.20,LPST 301500Z 33014KT 9999 FEW017 24/15 Q1017
LPST,2017-08-30 16:00,-9.3395,38.8310,75.20,60.80,60.90,330.00,12.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,75.20,LPST 301600Z 33012KT 290V360 9999 FEW017 24/16 Q1017
LPST,2017-08-30 17:00,-9.3395,38.8310,69.80,60.80,73.09,320.00,13.00,0.00,30.03,M,6.21,M,SCT,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,69.80,LPST 301700Z 32013KT 9999 SCT014 21/16 Q1017
LPST,2017-08-30 18:00,-9.3395,38.8310,68.00,60.80,77.75,330.00,12.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1700.00,M,M,M,M,M,M,M,M,M,M,68.00,LPST 301800Z 33012KT 9999 FEW017 20/16 Q1017
LPST,2017-08-30 19:00,-9.3395,38.8310,66.20,59.00,77.60,340.00,11.00,0.00,30.03,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,66.20,LPST 301900Z 34011KT 9999 FEW015 19/15 Q1017
LPST,2017-08-30 20:00,-9.3395,38.8310,64.40,60.80,88.09,330.00,8.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1400.00,M,M,M,M,M,M,M,M,M,M,64.40,LPST 302000Z 33008KT 9999 FEW014 18/16 Q1018
LPST,2017-08-30 21:00,-9.3395,38.8310,64.40,59.00,82.62,340.00,9.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,64.40,LPST 302100Z 34009KT 9999 FEW012 18/15 Q1018
LPST,2017-08-30 22:00,-9.3395,38.8310,62.60,59.00,88.00,340.00,6.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,62.60,LPST 302200Z 34006KT 9999 FEW013 17/15 Q1018
LPST,2017-08-31 06:00,-9.3395,38.8310,64.40,60.80,88.09,340.00,10.00,0.00,30.03,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,64.40,LPST 310600Z 34010KT 310V010 9999 BKN009 18/16 Q1017
LPST,2017-08-31 07:00,-9.3395,38.8310,64.40,60.80,88.09,340.00,7.00,0.00,30.06,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,64.40,LPST 310700Z 34007KT 9999 BKN010 18/16 Q1018
LPST,2017-08-31 08:00,-9.3395,38.8310,64.40,60.80,88.09,350.00,9.00,0.00,30.06,M,6.21,M,BKN,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,64.40,LPST 310800Z 35009KT 320V020 9999 BKN011 18/16 Q1018
LPST,2017-08-31 09:00,-9.3395,38.8310,66.20,60.80,82.74,340.00,11.00,0.00,30.06,M,6.21,M,SCT,M,M,M,1200.00,M,M,M,M,M,M,M,M,M,M,66.20,LPST 310900Z 34011KT 9999 SCT012 19/16 Q1018
LPST,2017-08-31 10:00,-9.3395,38.8310,69.80,60.80,73.09,10.00,8.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,69.80,LPST 311000Z 01008KT 9999 FEW016 21/16 Q1019
LPST,2017-08-31 11:00,-9.3395,38.8310,73.40,60.80,64.69,350.00,9.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,73.40,LPST 311100Z 35009KT 300V030 9999 FEW018 23/16 Q1019
LPST,2017-08-31 12:00,-9.3395,38.8310,75.20,60.80,60.90,340.00,12.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,75.20,LPST 311200Z 34012KT 300V020 9999 FEW018 24/16 Q1018
LPST,2017-08-31 13:00,-9.3395,38.8310,77.00,60.80,57.36,320.00,12.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,77.00,LPST 311300Z 32012KT 9999 FEW018 25/16 Q1018
LPST,2017-08-31 14:00,-9.3395,38.8310,77.00,59.00,53.80,320.00,12.00,0.00,30.06,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,77.00,LPST 311400Z 32012KT 290V350 9999 FEW020 25/15 Q1018
LPST,2017-08-31 15:00,-9.3395,38.8310,75.20,57.20,53.55,320.00,15.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,75.20,LPST 311500Z 32015KT 9999 FEW020 24/14 Q1017
LPST,2017-08-31 16:00,-9.3395,38.8310,73.40,55.40,53.29,350.00,13.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,73.40,LPST 311600Z 35013KT 310V010 9999 FEW020 23/13 Q1017
LPST,2017-08-31 17:00,-9.3395,38.8310,73.40,57.20,56.88,320.00,14.00,0.00,30.06,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,73.40,LPST 311700Z 32014KT 9999 FEW020 23/14 Q1018
LPST,2017-09-01 06:00,-9.3395,38.8310,59.00,57.20,93.74,290.00,5.00,0.00,30.06,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,M,M,M,59.00,LPST 010600Z 29005KT 9999 FEW010 15/14 Q1018
LPST,2017-09-01 07:00,-9.3395,38.8310,59.00,57.20,93.74,290.00,6.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,59.00,LPST 010700Z 29006KT 260V320 9999 FEW011 15/14 Q1019
LPST,2017-09-01 08:00,-9.3395,38.8310,62.60,55.40,77.29,320.00,8.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,62.60,LPST 010800Z 32008KT 280V340 9999 FEW015 17/13 Q1019
LPST,2017-09-01 09:00,-9.3395,38.8310,66.20,57.20,72.74,320.00,8.00,0.00,30.09,M,6.21,M,FEW,M,M,M,1800.00,M,M,M,M,M,M,M,M,M,M,66.20,LPST 010900Z 32008KT 9999 FEW018 19/14 Q1019
LPST,2017-09-01 10:00,-9.3395,38.8310,71.60,57.20,60.44,350.00,10.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,LPST 011000Z 35010KT CAVOK 22/14 Q1019
LPST,2017-09-01 11:00,-9.3395,38.8310,75.20,55.40,50.17,340.00,11.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,LPST 011100Z 34011KT CAVOK 24/13 Q1019
LPST,2017-09-01 12:00,-9.3395,38.8310,77.00,57.20,50.43,310.00,9.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LPST 011200Z 31009KT 280V340 CAVOK 25/14 Q1019
LPST,2017-09-01 13:00,-9.3395,38.8310,78.80,57.20,47.52,320.00,10.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,78.80,LPST 011300Z 32010KT 280V340 CAVOK 26/14 Q1018
LPST,2017-09-01 14:00,-9.3395,38.8310,77.00,57.20,50.43,320.00,11.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LPST 011400Z 32011KT 290V350 CAVOK 25/14 Q1018
LPST,2017-09-01 15:00,-9.3395,38.8310,77.00,55.40,47.25,320.00,10.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LPST 011500Z 32010KT 290V360 CAVOK 25/13 Q1018
LPST,2017-09-01 16:00,-9.3395,38.8310,77.00,55.40,47.25,330.00,13.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LPST 011600Z 33013KT CAVOK 25/13 Q1018
LPST,2017-09-02 07:00,-9.3395,38.8310,53.60,50.00,87.56,140.00,2.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,LPST 020700Z 14002KT CAVOK 12/10 Q1019 RMK WIND RWY32 00000KT RH89 BLU
LPST,2017-09-02 08:00,-9.3395,38.8310,60.80,55.40,82.37,M,2.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,LPST 020800Z VRB02KT CAVOK 16/13 Q1019
LPST,2017-09-02 09:00,-9.3395,38.8310,77.00,48.20,36.22,50.00,7.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,LPST 020900Z 05007KT 020V080 CAVOK 25/09 Q1020
LPST,2017-09-02 10:00,-9.3395,38.8310,80.60,48.20,32.18,60.00,5.00,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.60,LPST 021000Z 06005KT 030V120 CAVOK 27/09 Q1020
